item,field,raw_value,assigned_id,instances
1,Treatment,BafA,ART-X-26741,3
2,Treatment,TG,ART-X-29262,8
3,Treatment,FECH siRNA + 5-ALA,OOV-X-966D7A09E6,3
4,Treatment,1ng/ml LPS,OOV-X-985793487D,3
5,Treatment,cp-3856,OOV-X-2E46757CCA,1
6,Condition,infected with KY/136 (pdmH1N1),OOV-C-99E64C9B0B,3
7,Condition,activated metaphase-2 oocyte,OOV-C-BD0E094E01,4
8,Treatment,MLN0128,OOV-X-4302872BE4,2
9,Treatment,empty vector transfection; DMSO,OOV-X-9631D33913,8
10,Treatment,MAP8 backbone; peptide: GR,OOV-X-C46C7195AE,1
11,Condition,psoriatic patient; lesional scalp sample,OOV-C-6296E4F0DE,3
12,Treatment,T2D donors,OOV-X-CE8BFCDF85,2
13,Treatment,DCC-2036 10µM,OOV-X-F644D53058,31
14,Treatment,scratched,OOV-X-803D48E9D8,20
15,Condition,Dust Mite Atopic Patch Skin,OOV-C-1538160F65,10
16,Treatment,Vata-Pitta prakriti,OOV-X-FF1E9033FD,10
17,Tissue,primary human brain microvascular endothelial cells,OOV-T-71F360D6A6,6
18,Treatment,PRO023POST plasma,OOV-X-2AA6D81ECA,1
19,Tissue,Ewing's sarcoma cell line; SK-N-MC,OOV-T-CF3FBD08F6,1
20,Treatment,cp-50198,OOV-X-825D398698,1
21,Condition,colon cancer metastasis (liver),OOV-C-E413104254,27
22,Treatment,endo_4h; endotoxemia,OOV-X-1559766E54,5
23,Treatment,5.36633um,OOV-X-267F738855,1
24,Tissue,MoDC,OOV-T-347A06E124,2
25,Treatment,preterm labor,OOV-X-AEC4BE016F,5
26,Condition,"Adenocarcinoma of breast, ductal; tumor grade: G3; mininal stage grouping: IIA; t (extent of primary tumor): T2; n (lymph node metastasis): N0; er: 1; pgr: 1; dfs-month: 12; dfs-event: 0; distant metastasis: 0; breast tumor",OOV-C-A49CACD407,1
27,Tissue,B-cell chronic lymphocytic leukemia (B-CLL) cells,OOV-T-56975C82AD,269
28,Condition,Renal clear cell; Brain (metastatic site),OOV-C-88E1762053,1
29,Treatment,cp-74190,OOV-X-9894AA1173,1
30,Treatment,irradiated with 48 Gy,OOV-X-77E9C72C8A,1
31,Condition,Megakaryopoietic M_3,OOV-C-A780369AE8,1
32,Condition,preeclamptic pregnancies,OOV-C-1DF8EE703D,3
33,Condition,healthy donors; Exposed to Brugia malayi,OOV-C-9F3BFE40FD,1
34,Treatment,GTF2F2 siRNA knocked down,OOV-X-C69BAD0509,1
35,Treatment,GNA12,OOV-X-93BF771C6E,1
36,Condition,ccRCC; G3; T2N0M0,OOV-C-A5D889E668,2
37,Condition,Family history positive - 1 parent,OOV-C-37466D620F,13
38,Treatment,siRNA Smc3; Estrogen,OOV-X-6501DCE3BA,3
39,Treatment,Neu1; GMCSF,OOV-X-F240050C39,1
40,Condition,HIV-1 infected; Latent,OOV-C-9AE034E857,25
41,Treatment,cp-80698,OOV-X-4B2CA17F7F,1
42,Condition,AML subtypes: M5,OOV-C-FDE091898F,2
43,Condition,ALCL,ART-C-00270,55
44,Condition,Normal liver,OOV-C-A74669F132,52
45,Treatment,10 μM symplostatin 5; 100 nM elastase,OOV-X-B49D6AA169,2
46,Tissue,B-ALL-94,OOV-T-79EFFC6AC9,2
47,Treatment,PEO1R_SI; MI-3,OOV-X-29B8C89FB1,1
48,Treatment,Before 12 weeks of exercise,OOV-X-E2CC8B7668,1
