item,field,raw_value,assigned_id,instances
1,Treatment,cp-81518,OOV-X-09B6284ABD,1
2,Treatment,KIN001-055 1.11µM,OOV-X-72BFCA9F2C,39
3,Treatment,pacritinib,OOV-X-08D9A4D577,1
4,Treatment,SJE2A066,OOV-X-39D3A8A877,1
5,Treatment,cp-70309,OOV-X-B3431FFA55,1
6,Condition,AdenoCa,OOV-C-2AA52AC531,9
7,Condition,BRCA2 'one-hit' mutant,OOV-C-0AAA00359B,12
8,Treatment,cp-61413,OOV-X-EE55FC7465,1
9,Condition,"AML with t(8; 16), therapy-related",OOV-C-2A59AA74DF,1
10,Treatment,cp-80197,OOV-X-8C21379AFD,1
11,Condition,aspirin resistant,OOV-C-C3FA8217EF,8
12,Treatment,cp-59293,OOV-X-A0A0CF5317,1
13,Tissue,MDA-HNS-073,OOV-T-4D46A4B83D,1
14,Condition,follicular_carcinoma,OOV-C-C3DF455D0F,4
15,Condition,head and neck cancer cells,OOV-C-AE7A3CFA53,4
16,Treatment,recombinant cytokines IFNg and TNFa,OOV-X-BB07CF0D80,2
17,Condition,Ctrl Normoxia,OOV-C-64B341F379,3
18,Treatment,cp-70797,OOV-X-BEE731A34E,1
19,Treatment,high n3 level tertile; low sfa/pufa ratio tertile; middle n6 level tertile,OOV-X-A470484992,1
20,Treatment,smoker; 30-day mean pm2.5 exposure level: 7.68651,OOV-X-6DB91CBA4E,1
21,Condition,CD40 activated,OOV-C-6BC9C6ECB9,3
22,Treatment,cp-3038,OOV-X-DDD6C38D4F,1
23,Treatment,vehicle; NOTCH1 shRNA,OOV-X-47032BB9C8,2
24,Treatment,Low Meal Frequency (t=24),OOV-X-4707665693,7
25,Condition,cT3N0M0; pT1N0,OOV-C-0EBB5EDFB9,4
26,Tissue,rhesus monkey kidney cell,OOV-T-44A3FEDC42,2
27,Treatment,10.4483um,OOV-X-9E54474D2D,1
28,Treatment,cp-79352,OOV-X-8C7047FE4B,1
29,Treatment,START_013003 serum,OOV-X-00A7390923,1
30,Treatment,T1DAL_01010340 serum,OOV-X-E4AACF7FE6,1
31,Treatment,cp-69716,OOV-X-92CD72E598,1
32,Treatment,pre-miR-210,OOV-X-6DD4FCB9A1,4
33,Condition,Rhinovirus infection (hRV),OOV-C-80B636970F,91
34,Treatment,cp-79476,OOV-X-4892F85671,1
35,Treatment,cp-52806,OOV-X-A629C4847B,1
36,Treatment,shSMARCB1-1,OOV-X-FF8F8CFA9B,2
37,Treatment,cp-54116,OOV-X-C27E203497,1
38,Condition,LPS activation,OOV-C-D670FB54D2,5
39,Treatment,transient transfection: mouse SMYD2,OOV-X-D4C48B3476,1
40,Treatment,vandetanib 0.12µM,OOV-X-41BB4BDD43,34
41,Condition,healthy nonsmokers,OOV-C-81A2D9CA61,42
42,Treatment,R848; PF-06426779,OOV-X-DB2DF9F235,3
43,Treatment,cp-956,OOV-X-0A4CE87EC2,1
44,Treatment,4-OHT; FUW-CMV-NTCF-ERT2 (NET),OOV-X-C319251592,1
45,Condition,Tonsil squamous cell carcinoma; mucositis grade: 2,OOV-C-F707498CC6,10
46,Treatment,shScramble lentivirus,OOV-X-BA2E4DA679,1
47,Treatment,CF060 plasma,OOV-X-11EE50E222,1
48,Treatment,activating (antiCD3+antiCD28)+IL12+antiIL4,OOV-X-210B9F267C,4
49,Treatment,CB916 5microM,OOV-X-F14D04A22F,3
50,Treatment,TPM,ART-X-31365,9
51,Treatment,5.5mM+Met+Hyp,OOV-X-E38CC42D54,2
52,Treatment,cp-79572,OOV-X-B300F4A5FD,1
53,Treatment,cp-34181,OOV-X-FB6CDAFC10,1
54,Treatment,CH5424802 0.12µM,OOV-X-0D1F4B1E5E,34
55,Treatment,co-cultured with: T47D,OOV-X-3FE10DE502,5
56,Treatment,pcDNA3.1-GFP,OOV-X-F22AD3AB19,1
57,Tissue,Occular Adnexa MALT lymphoma,OOV-T-043877F4B3,1
58,Treatment,cp-63862,OOV-X-BD6A8405D9,1
59,Treatment,WeightRegainer,OOV-X-8EACFA03AD,11
60,Treatment,siLam,ART-X-28625,1
61,Condition,NSCLC; erlotinib resistant; EMT,OOV-C-7338416B0E,1
62,Treatment,bmi <25,OOV-X-931E865287,27
63,Treatment,WZ-3105 0.04µM,OOV-X-FE462044DD,49
64,Treatment,XMD-892 0.04µM,OOV-X-E05B3C6817,38
65,Treatment,late proliferative cycle stage,OOV-X-84DDB99F8C,20
66,Condition,"obese; insulin-resistant, non-diabetic",OOV-C-DC23CEDB22,12
67,Condition,human cancer,OOV-C-71274DA759,14
68,Treatment,Mock infected; infected with M1 virus,OOV-X-800387CFC4,1
69,Treatment,1nM E2,OOV-X-0182589CF1,26
70,Condition,AD; braak stage: VI,OOV-C-82B419C20E,18
71,Treatment,Hypoxia for 22hrs; 45 ng/mL IL-15,OOV-X-1A49CE6396,2
72,Treatment,DCA (300um),OOV-X-73F46BECF8,8
73,Treatment,10 uM compound 4278_38733,OOV-X-97236F953D,1
74,Treatment,H1.2 depletion,OOV-X-9EF5EB4C1D,2
75,Treatment,cp-53301,OOV-X-815787F32B,1
76,Treatment,smoking: yes; obese: no,OOV-X-DFCB3CA639,16
77,Condition,tumor-bearing xenograft model,OOV-C-391FAB7F59,10
78,Condition,shIKKa,OOV-C-FED2958317,2
79,Condition,DLBCL tumor,OOV-C-56F195CA50,36
80,Tissue,NKcell,OOV-T-FDDCE399A4,8
81,Tissue,Lineage-CD34+ cells,OOV-T-34640EE40A,1
82,Treatment,33.0386um,OOV-X-90D7CE97FE,4
83,Treatment,cp-6175,OOV-X-E2B39FB942,1
84,Treatment,ZM-447439 0.04µM,OOV-X-37ED389A91,34
85,Treatment,Ento+AZD,OOV-X-260D5F9704,1
86,Treatment,XB0091,OOV-X-15660D671B,1
87,Treatment,altitude exposure at alt16,OOV-X-7052277DDF,21
88,Treatment,cp-79253,OOV-X-981DF2337E,1
89,Treatment,ABT-263 0.1 uM,OOV-X-07E24B6532,2
90,Treatment,cp-59837,OOV-X-1217C678A4,1
91,Condition,"Prostate_Adenocarcinoma; Gleason_Score_5; pT T2b, pN N0, pM M0; tumor",OOV-C-4A7EFC8427,2
92,Tissue,SF8,ART-T-00398,2
93,Tissue,Glioblastoma; CNS,OOV-T-85B8E74B73,1
94,Tissue,metastasis tissue sample,OOV-T-68BB9692E6,13
95,Treatment,cp-59561,OOV-X-352D4A45BF,1
96,Condition,"Adenocarcinoma of breast, ductal; G3; IIA; T2; N0",OOV-C-E12B07F8E7,3
