item,field,label,verdict,reason
1,Condition,"Cystadenocarcinoma, Serous",correct,matches serous cystadenocarcinoma diagnosis
1,Condition,ic,correct,disease staging IC
1,Condition,G3,correct,tumor grading G3
2,Tissue,Parenchyma,correct,source_name parenchyma
2,Tissue,Alveolar,correct,segment alveolar
3,Condition,primary prostate tumor,correct,tissue primary prostate tumor
3,Condition,T3a,correct,tumor stage T3a
3,Condition,Gleason Grade: 7,correct,gleason grade 7 present
4,Condition,Neoplasms,correct,soft tissue sarcoma is neoplasm
4,Condition,Sarcoma,correct,soft tissue sarcoma
5,Treatment,dox,correct,title plusdox doxycycline
5,Treatment,KEAP1sh,correct,title KEAP1sh shRNA
6,Treatment,Viral Nonstructural Proteins,indeterminate,no treatment info in metadata
6,Treatment,Puromycin,indeterminate,no treatment info in metadata
7,Condition,RCC tumor,correct,kidney tumor RCC
7,Condition,conventional RCC,correct,histo conventional RCC
7,Condition,Stage: 2,correct,stage 2 present
7,Condition,grade: 2,incorrect,metadata grade NA contradicts
8,Tissue,Brain,correct,tissue Brain in characteristics
9,Treatment,ACWYVax (subcutaneous),indeterminate,specific vaccine not in metadata
9,Treatment,Menveo (intramuscular) booster,indeterminate,specific vaccine not in metadata
10,Condition,Nasopharyngeal Carcinoma,correct,nasopharyngeal carcinoma
10,Condition,Stage II,correct,stage 2
11,Treatment,infected with A/WSN/33 RK/AA mutant (MOI 3),correct,matches title exactly
11,Treatment,2 uM of obatoclax,correct,matches title exactly
13,Condition,SLE,correct,group SLE
13,Condition,Systemic lupus erythematosus (SLE),incorrect,duplicate of SLE
14,Condition,DLBCL,correct,bdc.class DLBCL
14,Condition,Burkitt lymphoma,correct,clinic diagnosis burkitt lymphoma
15,Treatment,Follicle Stimulating Hormone,indeterminate,no treatment in metadata
15,Treatment,Chorionic Gonadotropin,indeterminate,no treatment in metadata
16,Treatment,PBS,correct,exposure PBS
16,Treatment,MSC,correct,treatment MSC
17,Condition,Colorectal Neoplasms,correct,colorectal tumor
